train,dev,test
0.5492809388457502,0.468904321318384,0.43402286488416925
0.5220014203229764,0.46901535354462315,0.41990029960554703
0.5153168288310576,0.4561598592425667,0.40006300658553967
0.5119120438258378,0.45046814775210636,0.4022524433793251
0.5082498950043076,0.4699786290024284,0.41656427247268774
0.5067579402576511,0.46964184147280574,0.4169315481643515
0.5053201913707575,0.4528597163449569,0.4075003261490663
0.5028032714090556,0.44704931148076216,0.394584927659331
0.5020478354028942,0.4785563056798444,0.4193331063343204
0.49973791797736516,0.4525752227274243,0.3980025230307463
0.4985429792572165,0.4394434465935916,0.402238060266993
0.4980314853199493,0.43973831768886884,0.3876814360603171
0.4961767869348689,0.45393289768011535,0.40993971544878033
0.49511610498163955,0.44259633469863047,0.39726726709200505
0.4953058479996331,0.4410121991250706,0.40082411257032763
0.4923150341056361,0.44164963437580146,0.3974992849851295
0.48994829349971175,0.46387153117733415,0.4145978540948747
0.4902884621269173,0.4669228828936047,0.4054032392587544
0.4895986518770322,0.4396058722888367,0.3870591264738229
0.4892230696055911,0.4499921544237652,0.40840175940562334
0.4868945716493171,0.47206709369529576,0.41238733583126874
0.48665301847267306,0.4549428332108534,0.4042833839966357
0.4859589952713578,0.465479936038485,0.41187571693714875
0.4851332345771463,0.45460928060421757,0.39684228341013345
0.48433641994991944,0.464287659395024,0.4235903249757002
0.4837442650253803,0.4676460384734526,0.41432875758174065
0.48283012359392224,0.45425279090678755,0.40537910192847537
0.4836158447542517,0.44306914804084,0.3953495789589554
0.4831061365917543,0.4501244086448285,0.40960266234100157
0.4806317861491222,0.4631201299470805,0.4242518726223993
